HDR,ROLLING SYSTEM DEMAND
VD,20191007225000,24084
VD,20191007225500,23847
VD,20191007230000,23647
VD,20191007230500,23584
VD,20191007231000,23449
VD,20191007231500,23442
VD,20191007232000,23392
VD,20191007232500,23239
VD,20191007233000,23047
VD,20191007233500,23091
VD,20191007234000,23048
VD,20191007234500,22955
VD,20191007235000,22870
VD,20191007235500,22810
VD,20191008000000,22714
VD,20191008000500,22774
VD,20191008001000,22675
VD,20191008001500,22618
VD,20191008002000,22587
VD,20191008002500,22618
VD,20191008003000,22595
VD,20191008003500,22725
VD,20191008004000,22815
VD,20191008004500,22857
VD,20191008005000,22901
VD,20191008005500,22935
VD,20191008010000,22902
VD,20191008010500,22646
VD,20191008011000,22527
VD,20191008011500,22567
VD,20191008012000,22490
VD,20191008012500,22401
VD,20191008013000,22363
VD,20191008013500,22432
VD,20191008014000,22371
VD,20191008014500,22348
VD,20191008015000,22284
VD,20191008015500,22113
VD,20191008020000,21950
VD,20191008020500,22146
VD,20191008021000,22209
VD,20191008021500,22180
VD,20191008022000,22099
VD,20191008022500,22060
VD,20191008023000,22041
VD,20191008023500,22067
VD,20191008024000,22098
VD,20191008024500,21927
VD,20191008025000,21850
VD,20191008025500,21896
VD,20191008030000,22015
VD,20191008030500,22248
VD,20191008031000,22341
VD,20191008031500,22397
VD,20191008032000,22439
VD,20191008032500,22481
VD,20191008033000,22455
VD,20191008033500,22374
VD,20191008034000,22230
VD,20191008034500,22217
VD,20191008035000,22348
VD,20191008035500,22443
VD,20191008040000,22430
VD,20191008040500,22273
VD,20191008041000,22622
VD,20191008041500,22734
VD,20191008042000,22902
VD,20191008042500,23042
VD,20191008043000,23111
VD,20191008043500,23101
VD,20191008044000,23259
VD,20191008044500,23419
VD,20191008045000,23724
VD,20191008045500,24051
VD,20191008050000,24319
VD,20191008050500,25167
VD,20191008051000,26054
VD,20191008051500,26770
VD,20191008052000,27280
VD,20191008052500,27759
VD,20191008053000,28145
VD,20191008053500,28615
VD,20191008054000,29132
VD,20191008054500,29638
VD,20191008055000,30154
VD,20191008055500,30703
VD,20191008060000,31118
VD,20191008060500,31994
VD,20191008061000,32589
VD,20191008061500,33036
VD,20191008062000,33426
VD,20191008062500,33927
VD,20191008063000,34250
VD,20191008063500,34264
VD,20191008064000,34168
VD,20191008064500,34238
VD,20191008065000,34489
VD,20191008065500,34474
VD,20191008070000,34426
VD,20191008070500,34346
VD,20191008071000,34353
VD,20191008071500,34289
VD,20191008072000,34326
VD,20191008072500,34228
VD,20191008073000,34137
VD,20191008073500,33933
VD,20191008074000,33877
VD,20191008074500,33734
VD,20191008075000,33673
VD,20191008075500,33539
VD,20191008080000,33429
VD,20191008080500,33421
VD,20191008081000,33460
VD,20191008081500,33395
VD,20191008082000,33057
VD,20191008082500,32933
VD,20191008083000,32849
VD,20191008083500,32650
VD,20191008084000,32689
VD,20191008084500,32566
VD,20191008085000,32489
VD,20191008085500,32492
VD,20191008090000,32407
VD,20191008090500,32706
VD,20191008091000,32640
VD,20191008091500,32493
VD,20191008092000,32450
VD,20191008092500,32433
VD,20191008093000,32343
VD,20191008093500,32402
VD,20191008094000,32468
VD,20191008094500,32462
VD,20191008095000,32387
VD,20191008095500,32394
VD,20191008100000,32359
VD,20191008100500,31967
VD,20191008101000,31858
VD,20191008101500,31886
VD,20191008102000,31846
VD,20191008102500,31859
VD,20191008103000,31925
VD,20191008103500,31909
VD,20191008104000,29754
VD,20191008104500,30297
VD,20191008105000,31918
VD,20191008105500,31783
VD,20191008110000,31927
VD,20191008110500,32059
VD,20191008111000,32078
VD,20191008111500,32086
VD,20191008112000,31975
VD,20191008112500,31890
VD,20191008113000,31780
VD,20191008113500,31648
VD,20191008114000,31486
VD,20191008114500,31311
VD,20191008115000,31223
VD,20191008115500,31223
VD,20191008120000,31207
VD,20191008120500,31421
VD,20191008121000,31656
VD,20191008121500,31555
VD,20191008122000,31426
VD,20191008122500,31360
VD,20191008123000,31160
VD,20191008123500,31008
VD,20191008124000,31080
VD,20191008124500,31142
VD,20191008125000,31087
VD,20191008125500,30930
VD,20191008130000,30926
VD,20191008130500,31019
VD,20191008131000,31133
VD,20191008131500,31089
VD,20191008132000,31057
VD,20191008132500,31105
VD,20191008133000,31017
VD,20191008133500,31027
VD,20191008134000,30996
VD,20191008134500,30889
VD,20191008135000,30823
VD,20191008135500,30807
VD,20191008140000,30784
VD,20191008140500,30627
VD,20191008141000,30629
VD,20191008141500,30698
VD,20191008142000,30777
VD,20191008142500,30853
VD,20191008143000,30890
VD,20191008143500,31116
VD,20191008144000,31313
VD,20191008144500,31478
VD,20191008145000,31769
VD,20191008145500,31970
VD,20191008150000,32096
VD,20191008150500,31909
VD,20191008151000,31909
VD,20191008151500,32084
VD,20191008152000,32298
VD,20191008152500,32425
VD,20191008153000,32626
VD,20191008153500,32818
VD,20191008154000,33033
VD,20191008154500,33219
VD,20191008155000,33388
VD,20191008155500,33548
VD,20191008160000,33632
VD,20191008160500,33326
VD,20191008161000,33550
VD,20191008161500,33726
VD,20191008162000,34087
VD,20191008162500,34421
VD,20191008163000,34585
VD,20191008163500,34707
VD,20191008164000,34700
VD,20191008164500,34759
VD,20191008165000,34817
VD,20191008165500,34833
VD,20191008170000,34814
VD,20191008170500,34886
VD,20191008171000,35166
VD,20191008171500,35208
VD,20191008172000,35396
VD,20191008172500,35625
VD,20191008173000,35839
VD,20191008173500,35933
VD,20191008174000,36128
VD,20191008174500,36298
VD,20191008175000,36604
VD,20191008175500,36795
VD,20191008180000,36742
VD,20191008180500,36940
VD,20191008181000,36916
VD,20191008181500,36865
VD,20191008182000,36808
VD,20191008182500,36651
VD,20191008183000,36467
VD,20191008183500,36301
VD,20191008184000,36002
VD,20191008184500,35924
VD,20191008185000,35857
VD,20191008185500,35603
VD,20191008190000,35317
VD,20191008190500,35224
VD,20191008191000,35028
VD,20191008191500,34759
VD,20191008192000,34509
VD,20191008192500,34300
VD,20191008193000,34269
VD,20191008193500,33906
VD,20191008194000,33588
VD,20191008194500,33214
VD,20191008195000,33052
VD,20191008195500,32957
VD,20191008200000,32937
VD,20191008200500,32961
VD,20191008201000,32970
VD,20191008201500,32629
VD,20191008202000,32323
VD,20191008202500,31948
VD,20191008203000,31685
VD,20191008203500,31393
VD,20191008204000,31078
VD,20191008204500,30703
VD,20191008205000,30398
VD,20191008205500,30076
VD,20191008210000,29706
VD,20191008210500,29533
VD,20191008211000,29332
VD,20191008211500,28905
VD,20191008212000,28618
VD,20191008212500,28316
VD,20191008213000,28072
VD,20191008213500,27803
VD,20191008214000,27497
VD,20191008214500,27134
VD,20191008215000,26805
VD,20191008215500,26471
VD,20191008220000,26015
VD,20191008220500,25323
VD,20191008221000,24880
VD,20191008221500,24751
VD,20191008222000,24521
VD,20191008222500,24354
VD,20191008223000,24207
VD,20191008223500,24016
VD,20191008224000,23738
VD,20191008224500,23613
VD,20191008225000,23579
VD,20191008225500,23471
VD,20191008230000,23586
VD,20191008230500,23968
VD,20191008231000,24141
VD,20191008231500,24030
VD,20191008232000,23859
VD,20191008232500,23749
VD,20191008233000,23571
VD,20191008233500,23576
VD,20191008234000,23586
VD,20191008234500,23463
VD,20191008235000,23330
VD,20191008235500,23269
VD,20191009000000,23234
VD,20191009000500,23386
VD,20191009001000,23376
VD,20191009001500,23313
VD,20191009002000,23282
VD,20191009002500,23354
VD,20191009003000,23402
VD,20191009003500,23598
VD,20191009004000,23600
VD,20191009004500,23618
VD,20191009005000,23709
VD,20191009005500,23774
VD,20191009010000,23745
VD,20191009010500,23785
VD,20191009011000,23801
VD,20191009011500,23775
VD,20191009012000,23669
VD,20191009012500,23647
VD,20191009013000,23543
VD,20191009013500,23541
VD,20191009014000,23546
VD,20191009014500,23556
VD,20191009015000,23538
VD,20191009015500,23413
VD,20191009020000,23391
VD,20191009020500,23607
VD,20191009021000,23737
VD,20191009021500,23689
VD,20191009022000,23625
VD,20191009022500,23675
VD,20191009023000,23640
VD,20191009023500,23606
VD,20191009024000,23586
VD,20191009024500,23591
VD,20191009025000,23569
VD,20191009025500,23536
VD,20191009030000,23527
VD,20191009030500,23596
VD,20191009031000,23599
VD,20191009031500,23597
VD,20191009032000,23563
VD,20191009032500,23618
VD,20191009033000,23601
VD,20191009033500,23565
VD,20191009034000,23567
VD,20191009034500,23593
VD,20191009035000,23653
VD,20191009035500,23645
VD,20191009040000,23770
VD,20191009040500,24039
VD,20191009041000,24171
VD,20191009041500,24170
VD,20191009042000,24232
VD,20191009042500,24288
VD,20191009043000,24430
VD,20191009043500,24726
VD,20191009044000,24872
VD,20191009044500,25179
VD,20191009045000,25524
VD,20191009045500,25659
VD,20191009050000,25702
VD,20191009050500,26022
VD,20191009051000,26678
VD,20191009051500,27140
VD,20191009052000,27575
VD,20191009052500,27961
VD,20191009053000,28376
VD,20191009053500,29000
VD,20191009054000,29580
VD,20191009054500,30128
VD,20191009055000,30458
VD,20191009055500,30961
VD,20191009060000,31099
VD,20191009060500,31420
VD,20191009061000,31967
VD,20191009061500,32439
VD,20191009062000,32773
VD,20191009062500,32975
VD,20191009063000,33274
VD,20191009063500,33530
VD,20191009064000,33784
VD,20191009064500,34032
VD,20191009065000,34161
VD,20191009065500,34207
VD,20191009070000,34212
VD,20191009070500,34194
VD,20191009071000,34301
VD,20191009071500,34294
VD,20191009072000,34126
VD,20191009072500,34229
VD,20191009073000,34267
VD,20191009073500,34246
VD,20191009074000,34154
VD,20191009074500,33898
VD,20191009075000,33875
VD,20191009075500,33835
VD,20191009080000,33900
VD,20191009080500,33999
VD,20191009081000,34099
VD,20191009081500,34041
VD,20191009082000,33932
VD,20191009082500,33854
VD,20191009083000,33628
VD,20191009083500,33503
VD,20191009084000,33290
VD,20191009084500,33098
VD,20191009085000,33144
VD,20191009085500,33080
VD,20191009090000,33183
VD,20191009090500,33390
VD,20191009091000,33466
VD,20191009091500,33302
VD,20191009092000,33155
VD,20191009092500,32924
VD,20191009093000,32772
VD,20191009093500,32598
VD,20191009094000,32448
VD,20191009094500,32378
VD,20191009095000,32366
VD,20191009095500,32087
VD,20191009100000,32151
VD,20191009100500,31905
VD,20191009101000,31887
VD,20191009101500,31858
VD,20191009102000,31633
VD,20191009102500,31408
VD,20191009103000,31277
VD,20191009103500,31318
VD,20191009104000,31381
VD,20191009104500,31401
VD,20191009105000,31574
VD,20191009105500,31659
VD,20191009110000,31405
VD,20191009110500,31086
VD,20191009111000,30891
VD,20191009111500,30601
VD,20191009112000,30466
VD,20191009112500,30425
VD,20191009113000,30377
VD,20191009113500,30438
VD,20191009114000,30396
VD,20191009114500,30375
VD,20191009115000,30285
VD,20191009115500,30325
VD,20191009120000,30210
VD,20191009120500,30059
VD,20191009121000,30077
VD,20191009121500,29981
VD,20191009122000,29998
VD,20191009122500,29931
VD,20191009123000,29874
VD,20191009123500,29820
VD,20191009124000,29834
VD,20191009124500,29707
VD,20191009125000,29783
VD,20191009125500,29737
VD,20191009130000,29706
VD,20191009130500,29851
VD,20191009131000,30060
VD,20191009131500,30180
VD,20191009132000,30164
VD,20191009132500,30163
VD,20191009133000,30130
VD,20191009133500,30174
VD,20191009134000,30283
VD,20191009134500,30358
VD,20191009135000,30392
VD,20191009135500,30360
VD,20191009140000,30276
VD,20191009140500,30089
VD,20191009141000,30191
VD,20191009141500,30159
VD,20191009142000,30269
VD,20191009142500,30299
VD,20191009143000,30525
VD,20191009143500,30772
VD,20191009144000,31042
VD,20191009144500,31216
VD,20191009145000,31411
VD,20191009145500,31620
VD,20191009150000,31739
VD,20191009150500,31902
VD,20191009151000,32160
VD,20191009151500,32198
VD,20191009152000,32476
VD,20191009152500,32767
VD,20191009153000,33135
VD,20191009153500,33321
VD,20191009154000,33284
VD,20191009154500,33289
VD,20191009155000,33695
VD,20191009155500,33894
VD,20191009160000,33994
VD,20191009160500,34415
VD,20191009161000,34485
VD,20191009161500,34564
VD,20191009162000,34959
VD,20191009162500,35265
VD,20191009163000,35310
VD,20191009163500,35332
VD,20191009164000,35605
VD,20191009164500,35693
VD,20191009165000,35776
VD,20191009165500,35987
VD,20191009170000,36103
VD,20191009170500,36606
VD,20191009171000,36614
VD,20191009171500,36694
VD,20191009172000,36823
VD,20191009172500,37080
VD,20191009173000,37289
VD,20191009173500,37642
VD,20191009174000,37847
VD,20191009174500,37877
VD,20191009175000,37978
VD,20191009175500,38012
VD,20191009180000,38228
VD,20191009180500,38321
VD,20191009181000,38165
VD,20191009181500,37933
VD,20191009182000,37820
VD,20191009182500,37697
VD,20191009183000,37476
VD,20191009183500,37290
VD,20191009184000,37251
VD,20191009184500,37028
VD,20191009185000,36955
VD,20191009185500,36663
VD,20191009190000,36312
VD,20191009190500,36232
VD,20191009191000,36013
VD,20191009191500,35728
VD,20191009192000,35563
VD,20191009192500,35452
VD,20191009193000,35260
VD,20191009193500,34933
VD,20191009194000,34628
VD,20191009194500,34298
VD,20191009195000,34133
VD,20191009195500,33907
VD,20191009200000,33770
VD,20191009200500,33434
VD,20191009201000,33144
VD,20191009201500,32728
VD,20191009202000,32432
VD,20191009202500,32212
VD,20191009203000,31830
VD,20191009203500,31452
VD,20191009204000,31131
VD,20191009204500,30813
VD,20191009205000,30474
VD,20191009205500,30197
VD,20191009210000,29640
VD,20191009210500,29370
VD,20191009211000,28994
VD,20191009211500,28682
VD,20191009212000,28260
VD,20191009212500,27972
VD,20191009213000,27875
VD,20191009213500,27593
VD,20191009214000,27076
VD,20191009214500,26743
VD,20191009215000,26432
VD,20191009215500,26178
VD,20191009220000,25930
VD,20191009220500,25440
VD,20191009221000,25173
VD,20191009221500,24687
VD,20191009222000,24441
VD,20191009222500,24234
VD,20191009223000,24011
VD,20191009223500,23810
VD,20191009224000,23604
VD,20191009224500,23402
VD,20191009225000,23385
VD,20191009225500,23369
VD,20191009230000,23242
VD,20191009230500,23050
VD,20191009231000,23008
VD,20191009231500,22842
VD,20191009232000,22666
VD,20191009232500,22459
VD,20191009233000,22382
VD,20191009233500,22335
VD,20191009234000,22239
VD,20191009234500,22176
VD,20191009235000,22070
VD,20191009235500,22029
VD,20191010000000,21995
VD,20191010000500,22140
VD,20191010001000,22106
VD,20191010001500,22097
VD,20191010002000,22072
VD,20191010002500,22005
VD,20191010003000,21988
VD,20191010003500,22162
VD,20191010004000,22304
VD,20191010004500,22362
VD,20191010005000,22318
